NAME_GARMIN,CATEGORY_GARMIN,Name,Detailed,Body parts,Image 1,Image 2,URL,Chest,Triceps,Delts,Abs,Pecs,Shoulders,Hips,Quads,Glutes,Back,Calves,Total Body,Legs,Obliques,Core,Upper Back,Lower Back,Hamstrings,Biceps,Spinal Erectors,Traps,Arms,Lats,Difficulty,Equipment,Nothing,Bench,Barbell,Dumbbells,Kettlebells,Sliding Discs,Box,Dip Device,Squat Rack,Jump Rope,Mat,Ab Wheel,Weight Plates,Swiss Ball,Cable Machine,Cable Attachment,Pull-up Bar,Focus,Description,Image1url,Image2url
BARBELL_BENCH_PRESS,BENCH_PRESS,Barbell Bench Press,1,"Chest, Triceps, Delts",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/BARBELL_BENCH_PRESS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,"Bench, Barbell",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strength,"The barbell bench press is an upper body pressing drill that builds size and strength in the upper body, specifically in the chest, triceps, and shoulders. Lying flat on a bench allows for improved stability. The exercise allows for the greatest amount of weight to used, which makes it ideal for building strength, size, and power.",/msn-workout/Strength/S_087-A2.jpg,/msn-workout/Strength/S_087-B2.jpg
BARBELL_FLOOR_PRESS,BENCH_PRESS,Barbell Floor Press,1,"Chest, Shoulders, Triceps",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/BARBELL_FLOOR_PRESS,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,Barbell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strength,"The barbell floor press is an upper body exercise for the chest, shoulders and triceps. When performed on the floor, the range of motion of the exercise is limited to reduce the strain placed on the shoulder joint.",/msn-workout/Strength/S_097-A2.jpg,/msn-workout/Strength/S_097-B2.jpg
CLOSE_GRIP_BARBELL_BENCH_PRESS,BENCH_PRESS,Close Grip Barbell Bench Press,1,"Chest, Triceps, Delts",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/CLOSE_GRIP_BARBELL_BENCH_PRESS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,"Bench, Barbell",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strength,"The close-grip barbell bench press is an upper-body pressing drill that emphasizes building strength in the triceps as well as the chest. This exercises also increases upper body pushing strength. By placing your hands closer than shoulder-width apart, you force your triceps to do more of the work, thus making this an effective arm-building exercise. If you experience shoulder pain, a slight incline is preferred or dumbbells are suggested.",/msn-workout/Strength/S_088-A1.jpg,/msn-workout/Strength/S_088-A2.jpg
DUMBBELL_BENCH_PRESS,BENCH_PRESS,Dumbbell Bench Press,1,"Chest, Triceps, Delts",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/DUMBBELL_BENCH_PRESS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,"Bench, Dumbbells",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Strength,"The dumbbell bench press is an upper body exercise that strengthens the chest, shoulders, and triceps while improving muscular balance. Using dumbbells allows for a great range of motion in the chest and can also be easier on the shoulders and prevent pain.",/msn-workout/Strength/S_161-A2.jpg,/msn-workout/Strength/S_161-B2.jpg
DUMBBELL_FLOOR_PRESS,BENCH_PRESS,Dumbbell Floor Press,1,"Chest, Shoulders, Triceps, Abs",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/DUMBBELL_FLOOR_PRESS,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beginner,Dumbbells,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Strength,"The dumbbell floor press is a shoulder-friendly upper body pressing exercise that strengthens the chest, shoulders, and arms. Utilizing the floor removes potential strain places on the shoulder joint.",/msn-workout/Strength/S_181-A1.jpg,/msn-workout/Strength/S_181-B2.jpg
INCLINE_DUMBBELL_BENCH_PRESS,BENCH_PRESS,Incline Dumbbell Bench Press,1,"Chest, Triceps, Delts",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/INCLINE_DUMBBELL_BENCH_PRESS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,"Bench, Dumbbells",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Strength,"The incline dumbbell bench press is an upper-body strengthening exercise that targets the chest, shoulder, and triceps. The inclined position increases the exercise's emphasis on the upper chest and shoulders. Using dumbbells allows for a greater range of motion and can help prevent any strength imbalances on either arm.",/msn-workout/Strength/S_164-A3.jpg,/msn-workout/Strength/S_164-B3.jpg
KETTLEBELL_CHEST_PRESS,BENCH_PRESS,Kettlebell Chest Press,1,"Chest, Triceps, Delts",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/KETTLEBELL_CHEST_PRESS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermediate,"Bench, Kettlebells",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Strength,"The kettlebell chest press is a variation of the traditional bench press. Stabilizing the kettlebell throughout the press builds additional strength in the chest, triceps, and delts.",/msn-workout/Strength/S_242-A3.jpg,/msn-workout/Strength/S_242-A5.jpg
PARTIAL_LOCKOUT,BENCH_PRESS,Partial Lockout,1,"Pecs, Triceps, Shoulders",,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/PARTIAL_LOCKOUT,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermediate,"Barbell, Bench, Squat Rack",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Strength,"The partial lockout is an isometric exercise that increases strength and endurance in the chest, shoulders, and triceps. The exercise works through a short range of motion near the top portion of the bench press. This allows you to build strength if your sticking point is finishing the lift. The lockout forces you to hold a weight at the top of the motion (the isometric aspect), typically using a weigh that is heavier than what you could use for a full range of motion repetition. This exercise helps exercisers adapt to using heavier weights and resistance.",/msn-workout/Strength/S_263-A1.jpg,/msn-workout/Strength/S_263-A2.jpg
CARDIO_CORE_CRAWL,CARDIO,Cardio Core Crawl,1,"Abs, Hips, Quads, Glutes, Back, Shoulders",,,https://connect.garmin.com/modern/exercises/CARDIO/CARDIO_CORE_CRAWL,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Beginner,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mobility, Cardio","The cardio core crawl is a dynamic, multi-joint exercise that targets the core, hips, and glutes. The exercise also strengthens the lower back and shoulders.",/msn-workout/Strength/S_011-B1.jpg,/msn-workout/Strength/S_011-C1.jpg
JUMPING_JACKS,CARDIO,Jumping Jacks,1,"Calves, Shoulders",,,https://connect.garmin.com/modern/exercises/CARDIO/JUMPING_JACKS,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Beginner,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mobility, Cardio","This dynamic full-body exercise is a popular warm-up that increases body temperature, aerobic capacity, and strength.",/msn-workout/Strength/S_008-A3.jpg,/msn-workout/Strength/S_008-B3.jpg
